id,donor_id,seq_type,bam
PD63126_pta0070_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0070_dnahyb_run51611.bam
PD63126_pta0071_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0071_dnahyb_run51611.bam
PD63126_pta0074_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0074_dnahyb_run51611.bam
PD63126_pta0078_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0078_dnahyb_run51611.bam
PD63126_pta0083_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0083_dnahyb_run51611.bam
PD63126_pta0085_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0085_dnahyb_run51611.bam
PD63126_pta0088_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0088_dnahyb_run51611.bam
PD63126_pta0098_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0098_dnahyb_run51611.bam
PD63126_pta0102_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0102_dnahyb_run51611.bam
PD63126_pta0105_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0105_dnahyb_run51611.bam
PD63126_pta0109_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0109_dnahyb_run51611.bam
PD63126_pta0117_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0117_dnahyb_run51611.bam
PD63126_pta0121_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0121_dnahyb_run51611.bam
PD63126_pta0122_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0122_dnahyb_run51611.bam
PD63126_pta0124_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0124_dnahyb_run51611.bam
PD63126_pta0126_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0126_dnahyb_run51611.bam
PD63126_pta0127_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0127_dnahyb_run51611.bam
PD66718_pta0097_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0097_dnahyb_run51611.bam
PD66718_pta0098_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0098_dnahyb_run51611.bam
PD66718_pta0099_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0099_dnahyb_run51611.bam
PD66718_pta0100_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0100_dnahyb_run51611.bam
PD66718_pta0102_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0102_dnahyb_run51611.bam
PD66718_pta0104_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0104_dnahyb_run51611.bam
PD66718_pta0105_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0105_dnahyb_run51611.bam
PD66718_pta0107_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0107_dnahyb_run51611.bam
PD66718_pta0109_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0109_dnahyb_run51611.bam
PD66718_pta0110_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0110_dnahyb_run51611.bam
PD66718_pta0111_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0111_dnahyb_run51611.bam
PD66718_pta0112_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0112_dnahyb_run51611.bam
PD66718_pta0113_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0113_dnahyb_run51611.bam
PD66718_pta0114_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0114_dnahyb_run51611.bam
PD66718_pta0116_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0116_dnahyb_run51611.bam
PD66718_pta0117_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0117_dnahyb_run51611.bam
PD66718_pta0118_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0118_dnahyb_run51611.bam
PD66718_pta0119_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0119_dnahyb_run51611.bam
PD66718_pta0120_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0120_dnahyb_run51611.bam
PD66718_pta0122_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0122_dnahyb_run51611.bam
PD66718_pta0123_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0123_dnahyb_run51611.bam
PD66718_pta0126_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0126_dnahyb_run51611.bam
PD66718_pta0127_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0127_dnahyb_run51611.bam
PD66718_pta0128_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0128_dnahyb_run51611.bam
PD66718_pta0129_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0129_dnahyb_run51611.bam
PD66718_pta0130_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0130_dnahyb_run51611.bam
PD66718_pta0131_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0131_dnahyb_run51611.bam
PD66718_pta0133_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0133_dnahyb_run51611.bam
PD66718_pta0134_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0134_dnahyb_run51611.bam
PD66718_pta0136_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0136_dnahyb_run51611.bam
PD66718_pta0137_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0137_dnahyb_run51611.bam
PD66718_pta0138_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0138_dnahyb_run51611.bam
PD66718_pta0139_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0139_dnahyb_run51611.bam
PD66718_pta0140_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0140_dnahyb_run51611.bam
PD66718_pta0141_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0141_dnahyb_run51611.bam
PD66718_pta0142_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0142_dnahyb_run51611.bam
PD66718_pta0143_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0143_dnahyb_run51611.bam
PD66718_pta0144_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0144_dnahyb_run51611.bam
PD66718_pta0145_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0145_dnahyb_run51611.bam
PD66718_pta0146_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0146_dnahyb_run51611.bam
PD66718_pta0147_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0147_dnahyb_run51611.bam
